EIN,Name in IRS Master File,NTEE Code,NTEE Type (26),NTEE Classification,Affiliation,Founded,Overall,Financial Socre,Transparency Score,Tel,Website,Street,City,State,Zip
94-2537375,Global Partners For Development,Q33,"International, Foreign Affairs and National Security",International Relief,Independent ,"March, 1979",77.72,72.3,85,tel: (800) 765-6252,http://gpfd.org/,320 Professional Center Drive,Rohnert Park,CA,94928
56-1627401,Global Scholars,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"January, 1989",79.29,70.99,96,tel: (913) 962-4422,http://www.global-scholars.org,P.O. Box 12147,Overland Park,KS,66282
58-1291607,Global Servants Inc,X21,"Religion-Related, Spiritual Development",Protestant,Independent ,"January, 1985",80.88,98.6,73,tel: (770) 868-8887,http://globalservants.org/,935 Highway 124,Braselton,GA,30517
20-0941177,Global Solutions For Infectious Diseases,H81,Medical Research,AIDS Research,Independent ,"November, 2005",58.34,74.28,47,tel: (650) 228-7900,http://gsid.org/,830 Dubuque Avenue,South San Francisco,CA,94080
59-3302759,Teen Challenge International Inc,F22,"Mental Health, Crisis Intervention","Alcohol, Drug Abuse, Treatment Only",Independent ,"May, 1996",86.33,96.49,81,tel: (706) 576-6555,http://www.globaltc.org/,15 W 10th Street,Columbus,GA,31901
68-0586399,Global Training Network Inc,X20,"Religion-Related, Spiritual Development",Christian,Independent ,"August, 2004",57.3,93.29,40,tel: (623) 217-3867,http://www.globaltrainingnetwork.org/,7558 West Thunderbird Road,Peoria,AZ,85381
36-3352680,Global Volunteers,Q30,"International, Foreign Affairs and National Security","International Development, Relief Services",Independent ,"August, 1985",84.96,79.12,96,tel: (800) 487-1074,http://www.globalvolunteers.org,375 East Little Canada Road,St. Paul,MN,55117
30-0108263,Globalgiving Foundation Inc,Q11,"International, Foreign Affairs and National Security",Single Organization Support,Independent ,"May, 2003",96.26,94.72,100,tel: (877) 605-2314,http://www.globalgiving.org,1110 Vermont Avenue NW,Washington,DC,20005
84-1369453,Globous Relief Fund,Q19,"International, Foreign Affairs and National Security",Nonmonetary Support N.E.C.,Independent ,"May, 1998",93,90.95,96,tel: (801) 977-0444,http://www.globusrelief.org/,1775 West 1500 South,Salt Lake City,UT,84104
04-3017097,Gloriae Dei Artes Foundation Inc,A6B,"Arts, Culture and Humanities","Singing, Choral",Independent ,"October, 1988",71.72,84.83,63,tel: (508) 225-3999,http://www.gdaf.org/,P.O. Box 2831,Orleans,MA,2653
04-3234202,Glsen Inc,R30,"Civil Rights, Social Action, Advocacy","Intergroup, Race Relations",Central ,"February, 1995",79.68,71.55,96,tel: (212) 727-0135,http://www.glsen.org,110 William Street,New York,NY,10038
95-6001477,Go-Ye Fellowship,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"September, 1948",83.72,87,81,tel: (626) 398-2305,http://www.goyefellowship.org/,1550 Elizabeth Street,Pasadena,CA,91104
13-3492792,Goal U S A Fund,Q12,"International, Foreign Affairs and National Security",Fund Raising and/or Fund Distribution,Independent ,"February, 1991",77.94,72.65,85,tel: (212) 831-7420,http://www.goalglobal.org,41 Union Square,New York,NY,10003
36-4149349,Gods Littlest Angels Inc,Q30,"International, Foreign Affairs and National Security","International Development, Relief Services",Independent ,"November, 2003",83.65,77.23,96,tel: (719) 638-4348,http://www.glahaiti.org/,2283 A Waynoka Road,Colorado Springs,CO,80915
13-3366846,Gods Love We Deliver Inc,K36,"Food, Agriculture and Nutrition",Meals on Wheels,Independent ,"April, 1987",93.96,92.46,96,tel: (212) 294-8100,http://www.godslovewedeliver.org/,166 Avenue of the Americas,New York,NY,10013
31-0979404,Gods Pantry Food Bank Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"March, 1980",97.08,98.99,96,tel: (859) 255-6592,http://www.godspantry.org,1685 Jaggie Fox Way,Lexington,KY,40511
54-1974979,Gods Pit Crew Inc,M20,"Public Safety, Disaster Preparedness and Relief",Disaster Preparedness and Relief Services,Independent ,"August, 2000",68.91,72.13,66,tel: (434) 836-4472,http://www.godspitcrew.org/,2499 North Main Street,Danville,VA,24540
13-1893908,Goddard-Riverside Community Center,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"December, 1959",90.94,87.83,96,tel: (212) 873-4448,http://www.goddard.org/,593 Columbus Avenue,New York,NY,10024
94-2781708,Golden Gate National Parks Conservancy,C11,"Environmental Quality, Protection and Beautification",Single Organization Support,Independent ,"May, 1985",91.69,95.88,89,tel: (415) 561-3000,http://www.parksconservancy.org,Building 201,San Francisco,CA,94123
58-1466516,Golden Harvest Food Bank Inc,K31,"Food, Agriculture and Nutrition","Food Banks, Food Pantries",Independent ,"August, 1982",92.64,89.6,100,tel: (800) 766-7690,http://www.goldenharvest.org,3310 Commerce Drive,Augusta,GA,30909
86-0597661,Barry Goldwater Institute For Public Policy Research,W05,"Public, Society Benefit - Multipurpose and Other",Research Institutes and/or Public Policy Analysis,Independent ,"February, 1989",85.99,82.91,90,tel: (602) 462-5000,http://www.goldwaterinstitute.org,500 East Coronado Road,Phoenix,AZ,85004
01-0687133,Golisano Childrens Museum Of Naples Inc,A52,"Arts, Culture and Humanities",Children's Museums,Independent ,"August, 2002",87.64,86.42,89,tel: (239) 514-0084,http://www.cmon.org,15080 Livingston Road,Naples,FL,34109
54-1967650,Goochland Free Clinic And Family Services Inc,E30,Health - General and Rehabilitative,"Health Treatment Facilities, Primarily Outpatient",Independent ,"February, 2000",86.95,85.19,89,tel: (804) 556-5840,http://goochlandfreeclinicandfamilyservices.org/,P.O. Box 116,Goochland,VA,23063
22-2831271,Good Counsel Inc,P42,Human Services - Multipurpose and Other,"Single Parent Agencies, Services",Subordinate ,"March, 1946",85.32,79.64,96,tel: (845) 486-4143,http://www.goodcounselhomes.org,411 Clinton Street,Hoboken,NJ,7030
31-1374154,Good Neighbor House,P20,Human Services - Multipurpose and Other,Human Service Organizations - Multipurpose,Independent ,"September, 1999",76.73,76.48,77,tel: (937) 224-3003,http://www.goodneighborhouse.org/,627 East First Street,DAYTON,OH,45402
36-2680478,Forum For Scriptural Christianity,X21,"Religion-Related, Spiritual Development",Protestant,Independent ,"May, 1970",74.49,74.99,74,tel: (800) 487-7784,http://www.goodnewsmag.org,308 East Main Street,Wilmore,KY,40390
36-3107283,Good News Partners,L20,"Housing, Shelter","Housing Development, Construction, Management",Independent ,"March, 1988",79.67,75.48,85,tel: (773) 764-4998,http://www.goodnewspartners.org/,1600 West Jonquil Terrace,Chicago,IL,60626
23-7243474,Good News Radio,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"December, 1972",84.6,87.76,82,tel: (800) 321-5746,http://www.ksgn.com/,2048 Orange Tree Lane,Redlands,CA,92374
94-1652602,Good News Rescue Mission,P28,Human Services - Multipurpose and Other,"Neighborhood Centers, Settlement Houses",Independent ,"February, 1968",91.19,92.57,90,tel: (530) 242-5920,http://www.gnrm.org/,2842 S. Market Street,Redding,CA,96001
74-1117340,Good Samaritan Center Of San Antonio,P28,Human Services - Multipurpose and Other,"Neighborhood Centers, Settlement Houses",Independent ,"July, 1951",80.52,72.75,96,tel: (210) 434-5531,http://www.goodsamtx.org/,1600 Saltillo Street,San Antonio,TX,78207
58-2373395,Good Samaritan Health Center Inc,E32,Health - General and Rehabilitative,"Ambulatory Health Center, Community Clinic",Independent ,"March, 1998",84.96,84.94,85,tel: (404) 523-6571,http://www.goodsamhc.org,1015 Donald Lee Hollowell Parkway,Atlanta,GA,30318
73-1559561,Good Samaritan Health Services Inc,F32,"Mental Health, Crisis Intervention",Community Mental Health Center,Independent ,"July, 1999",75.3,88.57,67,tel: (918) 710-4222,http://www.goodsamaritanhealth.org/,P.O. Box 1191,Tulsa,OK,74101
62-1233320,Good Samaritan Ministries Inc,L41,"Housing, Shelter","Homeless, Temporary Shelter For",Independent ,"October, 1989",78.07,92.19,70,tel: (423) 928-0288,http://goodsamjc.org,100 N. Roan St.,Johnson City,TN,37605
22-2986809,Good Shepherd Food-Bank,K31,"Food, Agriculture and Nutrition","Food Banks, Food Pantries",Independent ,"September, 1989",94.65,97.15,93,tel: (207) 782-3554,http://gsfb.org,3121 Hotel Road,Auburn,ME,4210
56-1566178,Good Shepherd Ministries Of Wilmington Inc,L41,"Housing, Shelter","Homeless, Temporary Shelter For",Independent ,"August, 1987",83.72,79.79,89,tel: (910) 763-4424,http://www.goodshepherdwilmington.org,811 Martin Street,Wilmington,NC,28401
72-1489054,Good Shepherd Nativity Mission School Inc,B24,Educational Institutions and Related Activities,"Primary, Elementary Schools",Independent ,"June, 2001",83.69,98.3,77,tel: (504) 598-9399,http://www.thegoodshepherdschool.org/,353 Baronne Street,New Orleans,LA,70112
75-3138664,Good Sports Inc,O50,Youth Development,"Youth Development Programs, Other",Independent ,"May, 2004",93.34,90.59,100,tel: (617) 471-1213,http://www.goodsports.org/,1515 Hancock Street,Quincy,MA,2169
23-2513834,Good Works Inc,L20,"Housing, Shelter","Housing Development, Construction, Management",Independent ,"March, 1990",77.76,69.34,93,tel: (610) 383-6311,http://goodworksinc.org,544 East Lincoln Highway,Coatesville,PA,19320
54-1282616,Good360,Q19,"International, Foreign Affairs and National Security",Nonmonetary Support N.E.C.,Independent ,"November, 1984",87.79,83.21,96,tel: (703) 836-2121,http://about.good360.org,1330 Braddock Place,Alexandria,VA,22314
36-3467921,Goodcity Nfp,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"March, 1988",87.62,86.38,89,tel: (773) 473-4790,http://www.goodcitychicago.org/,5049 West Harrison Street,Chicago,IL,60644
36-2896025,Chicago Theatre Group Inc,A65,"Arts, Culture and Humanities",Theater,Independent ,"March, 1977",83.63,77.94,93,tel: (312) 443-3811,http://www.goodmantheatre.org/,170 North Dearborn Street,Chicago,IL,60601
84-0405513,Goodwill Industries Of Denver,J32,"Employment, Job-Related",Goodwill Industries,Independent ,"January, 1933",96.21,96.45,96,tel: (303) 650-7700,http://www.goodwilldenver.org,6850 Federal Boulevard,Denver,CO,80221
13-1641068,Goodwill Industries Of Greater New York And Northern New Jersey Inc,J32,"Employment, Job-Related",Goodwill Industries,Central ,"July, 1942",89.46,89.95,89,tel: (718) 728-5400,http://www.goodwillnynj.org/,4 - 21 27th Avenue,Astoria,NY,11102
74-1285095,Goodwill Industries Of Houston,J32,"Employment, Job-Related",Goodwill Industries,Independent ,"August, 1949",88.6,92.02,86,tel: (713) 692-6221,http://www.goodwillhouston.org/,1140 West Loop North,Houston,TX,77055
72-0460816,Goodwill Industries Of North Louisiana Inc,J32,"Employment, Job-Related",Goodwill Industries,Independent ,"March, 1944",82.81,78.33,89,tel: (800) 259-4483,http://www.goodwillnla.org/,800 West 70th Street,Shreveport,LA,71106
94-1156540,Goodwill Industries Of San Francisco San Mateo & Marin Cntys,J32,"Employment, Job-Related",Goodwill Industries,Independent ,"April, 1935",85.98,81.86,92,tel: (415) 575-2101,https://www.sfgoodwill.org,1500 Mission Street,San Francisco,CA,94103
23-7190326,Goodwill Industries Of South Central Virginia Inc,J32,"Employment, Job-Related",Goodwill Industries,Independent ,"January, 1973",86.63,84.63,89,tel: (434) 792-2511,http://www.goodwillscv.org/,512 Westover Drive,Danville,VA,24541
59-0866126,Goodwill Industries Of South Florida Inc,J32,"Employment, Job-Related",Goodwill Industries,Independent ,"February, 1963",84.73,84.47,85,tel: (305) 325-9114,http://www.goodwillsouthflorida.org/,2121 Northwest 21st Street,Miami,FL,33142
39-0808491,Goodwill Industries Of Southeastern Wisconsin Inc,J32,"Employment, Job-Related",Goodwill Industries,Independent ,"August, 1945",90.03,86.48,96,tel: (414) 847-4200,http://www.goodwillsew.com/,5400 South 60th Street,Greendale,WI,53129
21-0681239,Goodwill Industries Of Southern New Jersey,J32,"Employment, Job-Related",Goodwill Industries,Central ,"January, 2009",90.2,91.59,89,tel: (856) 439-0200,http://www.goodwillnj.org/,2835 Route 73,Maple Shade,NJ,8052
95-1644018,Goodwill Industries Of Orange County Ca,J32,"Employment, Job-Related",Goodwill Industries,Independent ,"July, 1953",95.61,93.8,100,tel: (714) 547-6308,http://www.ocgoodwill.org/,410 North Fairview Street,Santa Ana,CA,92703
94-1212132,Goodwill Of Silicon Valley,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"August, 1942",93.58,95.72,92,tel: (408) 998-5774,http://www.goodwillsv.org,1080 North Seventh Street,San Jose,CA,95112
35-1019658,Goodwill Of Southern Indiana Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"August, 1970",85.78,83.17,89,tel: (800) 660-3355,http://www.goodwillsi.org/,1329 Applegate Lane,Clarksville,IN,47131
23-7437479,Goodwill Industries Of Southern Nevada Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"June, 1978",94.3,91.94,100,tel: (702) 214-2000,http://www.sngoodwill.org/,1280 West Cheyenne Avenue,North Las Vegas,NV,89030
22-1487207,Goodwill Recsue Mission Inc,P60,Human Services - Multipurpose and Other,"Emergency Assistance (Food, Clothing, Cash)",Independent ,"December, 1942",67.32,53.79,100,tel: (973) 621-9560,http://www.grmnewark.org,79 University Avenue,Newark,NJ,7102
95-1641441,Goodwill Industries Of Southern California,J32,"Employment, Job-Related",Goodwill Industries,Independent ,"May, 1935",91.26,94.37,89,tel: (888) 446-6394,http://www.goodwillsocal.org,342 San Fernando Road,Los Angeles,CA,90031
41-0706171,Goodwill Industries Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"December, 1934",93.67,96.01,92,tel: (651) 379-5800,http://www.goodwilleasterseals.org/,"553 Fairview Avenue, N.",St. Paul,MN,55104
94-2386151,Gorilla Foundation,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"March, 1977",82.91,81.06,85,tel: (800) 634-6273,http://www.koko.org/,P.O. Box 620530,Woodside,CA,94062
42-0819319,The Gospel Mission,P60,Human Services - Multipurpose and Other,"Emergency Assistance (Food, Clothing, Cash)",Independent ,"February, 1989",88.11,87.3,89,tel: (712) 255-1769,http://www.thegospelmission.org,500 Bluff Street,Sioux City,IA,51103
58-2390166,Gospelink Inc,X21,"Religion-Related, Spiritual Development",Protestant,Independent ,"September, 1998",65.73,93.38,52,tel: (434) 485-7007,http://www.gospelink.org,115 Hexham Drive,Lynchburg,VA,24502
22-1833220,Gottesman Rtw Academy,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"March, 1979",91.14,94.02,89,tel: (973) 584-5530,http://www.grtwacademy.org/,146 Dover Chester Road,Randolph,NJ,7869
52-1343924,Government Accountability Project Inc,W20,"Public, Society Benefit - Multipurpose and Other",Government and Public Administration,Independent ,"June, 1984",83.31,78.62,90,tel: (202) 457-0034,http://www.whistleblower.org,"1612 K Street, NW",Washington,DC,20006
04-2103564,Governor Dummer Academy,B25,Educational Institutions and Related Activities,"Secondary, High School",Independent ,"February, 1935",83,85.27,81,tel: (978) 499-3174,http://www.thegovernorsacademy.org,One Elm Street,Byfield,MA,1922
39-1667442,Gps Education Partners Inc,A99,"Arts, Culture and Humanities","Arts, Culture, and Humanities N.E.C.",Independent ,"April, 1995",92.08,97.96,89,tel: (262) 226-2001,http://gpsed.org/,13000 West Silver Spring Drive,Butler,WI,53007
38-6094602,Grace Centers Of Hope,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"May, 1946",93.34,95.05,92,tel: (855) 435-7424,http://www.gracecentersofhope.org,35 East Huron,Pontiac,MI,48342
95-3846510,Grace To You,X84,"Religion-Related, Spiritual Development",Religious Radio,Independent ,"July, 1992",90.93,93.41,89,tel: (800) 554-7223,http://www.gty.org,28001 Harrison Parkway,Valencia,CA,91355
73-1502797,Grameen Foundation Usa,Q30,"International, Foreign Affairs and National Security","International Development, Relief Services",Independent ,"December, 1996",85.99,80.6,96,tel: (202) 628-3560,http://www.grameenfoundation.org/,"1101 Fifteenth Street, NW.",Washington,DC,20005
76-0193791,1894 Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"November, 1986",84.8,92.15,80,tel: (800) 821-1894,http://www.thegrand.com,2020 Postoffice Street,Galveston,TX,77550
86-0512633,Grand Canyon Trust Inc,C30,"Environmental Quality, Protection and Beautification",Natural Resources Conservation and Protection,Independent ,"August, 1985",81.77,75.5,92,tel: (928) 774-7488,http://www.grandcanyontrust.org,2601 North Fort Valley Road,Flagstaff,AZ,86001
43-1450326,Grand Center Inc,A61,"Arts, Culture and Humanities",Performing Arts Centers,Independent ,"August, 1988",89.05,96.19,85,tel: (314) 289-1526,http://www.grandcenter.org,3526 Washington Avenue,St. Louis,MO,63103
47-0735201,Grand Island Public Schools Foundation,B84,Educational Institutions and Related Activities,Alumni Associations,Independent ,"January, 1991",94.2,98.21,92,tel: (308) 385-5900,http://www.gips.org/foundation,123 S. Webb Road,Grand Island,NE,68802
51-0116569,Grand Opera House Inc,A80,"Arts, Culture and Humanities","Historical Societies, Related Historical Activities",Independent ,"December, 1972",76.82,69.13,89,tel: (302) 658-7897,http://www.thegrandwilmington.org/,818 North Market Street,Wilmington,DE,19801
38-1387136,Grand Rapids Art Museum,A51,"Arts, Culture and Humanities",Art Museums,Independent ,"July, 1944",83.74,79.81,89,tel: (616) 831-1000,http://www.artmuseumgr.org/,101 Monroe Center,Grand Rapids,MI,49503
38-2026127,Grand Rapids Ballet Co,A63,"Arts, Culture and Humanities",Ballet,Independent ,"June, 1974",87.44,89.07,86,tel: (616) 454-4771,http://www.grballet.com/,341 Ellsworth SW,Grand Rapids,MI,49503
38-1880873,Grand Rapids Christian Schools,B21,Educational Institutions and Related Activities,"Kindergarten, Preschool, Nursery School, Early Admissions",Independent ,"June, 1970",87.86,91.66,85,tel: (616) 574-6383,http://www.grcs.org/,"1812 Sylvan Avenue, SE",Grand Rapids,MI,49506
38-2877959,Grand Rapids Community Foundation,T31,"Philanthropy, Voluntarism and Grantmaking Foundations",Community Foundations,Independent ,"August, 1989",91.56,88.46,97,tel: (616) 454-1751,http://www.grfoundation.org,"185 Oakes Street, SW",Grand Rapids,MI,49503
38-6005447,Grand Rapids Symphony Society,A69,"Arts, Culture and Humanities",Symphony Orchestras,Independent ,"October, 1942",85.68,83.69,88,tel: (616) 454-9451,http://www.grsymphony.org/,300 Ottawa Avenue NW,Grand Rapids,MI,49503
13-5562230,Grand Street Settlement Inc,P20,Human Services - Multipurpose and Other,Human Service Organizations - Multipurpose,Independent ,"January, 1927",87.29,82.49,96,tel: (212) 674-1740,http://www.grandsettlement.org/,80 Pitt Street,New York,NY,10002
23-7034152,Grand Teton Music Festival Inc,A68,"Arts, Culture and Humanities",Music,Independent ,"February, 1970",88.68,99.63,84,tel: (307) 733-3050,http://www.gtmf.org/,4015 North Lake Creek Drive,Wilson,WY,83014
83-0322668,Grand Teton National Park Foundation,T30,"Philanthropy, Voluntarism and Grantmaking Foundations",Public Foundations,Independent ,"December, 1998",94.54,92.29,100,tel: (307) 732-0629,http://www.gtnpf.org/,25 South Willow,Jackson,WY,83001
02-6006033,Granite United Way,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"August, 1955",88.23,83.36,100,tel: (603) 625-6939,http://www.graniteuw.org/,22 Concord Street,Manchester,NH,3101
02-0222248,The Granite Ymca,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"January, 1938",88.66,94.35,85,tel: (603) 623-3558,http://www.graniteymca.org/,30 Mechanic Street,Manchester,NH,3101
36-3670955,Grantmakers In The Arts,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"July, 1994",82.42,80.19,85,tel: (206) 624-2312,http://www.giarts.org/,4055 21st Avenue West,Seattle,WA,98199
75-2195702,Grapevine Relief And Community Exchange,P29,Human Services - Multipurpose and Other,Thrift Shops,Independent ,"October, 1988",88.77,84.12,100,tel: (817) 488-7009,http://gracegrapevine.org,610 Shady Brook Drive,Grapevine,TX,76051
43-1957920,Grassroot Soccer Inc,N64,"Recreation, Sports, Leisure, Athletics","Soccer Clubs, Leagues",Independent ,"August, 2002",90.61,87.35,96,tel: (802) 649-2900,http://www.grassrootsoccer.org/,198 Church Street,Norwich,VT,5055
04-2791159,Grassroots International Inc,Q33,"International, Foreign Affairs and National Security",International Relief,Independent ,"October, 1983",82.46,75.39,97,tel: (800) 348-8881,http://www.grassrootsonline.org,179 Boylston Street,Boston,MA,2130
61-6031750,Grayson-Jockey Club Research Foundation,D05,Animal-Related,Research Institutes and/or Public Policy Analysis,Independent ,"June, 1942",86.19,87.51,85,tel: (859) 224-2850,http://www.grayson-jockeyclub.org/,821 Corporate Drive,Lexington,KY,40503
91-1257237,Graywolf Press,A33,"Arts, Culture and Humanities","Printing, Publishing",Independent ,"July, 1984",94.2,95.75,93,tel: (651) 641-0077,http://www.graywolfpress.org/,"250 Third Avenue, N",Minneapolis,MN,55401
52-1277427,Great Aspirations Scholarship Program Inc,B82,Educational Institutions and Related Activities,"Scholarships, Student Financial Aid Services, Awards",Independent ,"March, 1983",92.12,98.26,89,tel: (804) 527-7726,http://grasp4va.org/,4551 Cox Road,Glen Allen,VA,23060
81-6014374,Great Falls Rescue Mission,P28,Human Services - Multipurpose and Other,"Neighborhood Centers, Settlement Houses",Independent ,"March, 1964",83.91,78.35,93,tel: (406) 761-2653,http://www.gfrescuemission.org/,311 2nd Ave. S.,Great Falls,MT,59405
31-1258416,Great Lakes Museum Of Science Environment And Technology,U30,"Science and Technology Research Institutes, Services","Physical Sciences, Earth Sciences Research and Promotion",Independent ,"November, 1993",81.16,77.99,85,tel: (216) 696-4576,http://www.glsc.org/,601 Erieside Avenue,Cleveland,OH,44114
34-0901212,Great Lakes Theater Festival Inc,A65,"Arts, Culture and Humanities",Theater,Independent ,"April, 1964",82.22,77.4,89,tel: (216) 241-5490,http://www.greatlakestheater.org/,1501 Euclid Avenue,Cleveland,OH,44115
38-2571135,Great Lakes Womens Business Council,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"September, 1985",78.6,73.72,85,tel: (734) 677-1400,http://miceed.org/index.php,33109 Schoolcraft Road,Livonia,MI,48150
52-1257702,Great Meadow Foundation,C30,"Environmental Quality, Protection and Beautification",Natural Resources Conservation and Protection,Independent ,"August, 1982",89.39,89.81,89,tel: (540) 253-5000,http://www.greatmeadow.org,5089 Old Tavern Road,The Plains,VA,20198
41-1921126,Great Plains Institute For Sustainable Development,S30,"Community Improvement, Capacity Building",Economic Development,Independent ,"May, 2000",95.74,95.51,96,tel: (612) 278-7150,http://www.betterenergy.org/,2801 21st Avenue South,Minneapolis,MN,55407
05-0552529,Great Plains Spca,D20,Animal-Related,Animal Protection and Welfare,Independent ,"September, 2003",90.28,88.18,93,tel: (913) 742-7336,http://www.greatplainsspca.org/,5428 Antioch Drive,Merriam,KS,66202
41-1940024,Great River Greening,D50,Animal-Related,"Zoo, Zoological Society",Independent ,"November, 1999",94.71,93.69,96,tel: (651) 665-9500,http://www.greatrivergreening.org/,35 West Water Street,St. Paul,MN,55107
39-0848188,Great Rivers United Way Inc,T70,"Philanthropy, Voluntarism and Grantmaking Foundations",Fund Raising Organizations That Cross Categories,Independent ,"December, 1954",86.31,81.06,96,tel: (608) 796-1400,http://www.greatriversunitedway.org,1855 East Main Street,Onalaska,WI,54650
22-2403906,Great Swamp Watershed Association,C32,"Environmental Quality, Protection and Beautification","Water Resource, Wetlands Conservation and Management",Independent ,"August, 1982",87.05,82.13,96,tel: (973) 538-3500,http://www.greatswamp.org/,568 Tempe Wick Road,Morristown,NJ,7960
85-0359138,Habitat For Humanity,L20,"Housing, Shelter","Housing Development, Construction, Management",Subordinate ,"January, 1987",83.09,81.38,85,tel: (505) 265-0057,http://habitatabq.org/,"4900 Menaul Boulevard, NE",Albuquerque,NM,87108
01-6011843,Greater Androscoggin Humane Society,D20,Animal-Related,Animal Protection and Welfare,Independent ,"February, 1973",77.68,90.21,70,tel: (207) 783-2311,http://www.gahumane.org/,55 Strawberry Avenue,Lewiston,ME,4240
74-2930567,Greater Austin First Tee,N6A,"Recreation, Sports, Leisure, Athletics",Golf,Independent ,"June, 2000",64.7,73.03,58,tel: (512) 732-0380,http://www.thefirstteeaustin.org/,5501 Ed Bluestein Boulevard,Austin,TX,78723
72-1065318,Greater Baton Rouge Food Bank Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"August, 1986",85.27,80.38,93,tel: (225) 359-9940,http://www.brfoodbank.org,10600 S. Choctaw Drive,Baton Rouge,LA,70815
04-2717782,The Greater Boston Food Bank Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"May, 1990",96.39,96.83,96,tel: (617) 427-5200,http://www.gbfb.org/,70 South Bay Avenue,Boston,MA,2118
04-2103907,Greater Boston Legal Services Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"March, 1933",90.49,89.2,92,tel: (800) 323-3205,http://www.gbls.org,197 Friend Street,Boston,MA,2114
36-2971864,Greater Chicago Food Depository,K31,"Food, Agriculture and Nutrition","Food Banks, Food Pantries",Independent ,"October, 1978",95.47,95,96,tel: (773) 247-3663,http://www.chicagosfoodbank.org,4100 West Ann Lurie Place,Chicago,IL,60632
31-0669700,Greater Cincinnati Foundation,T31,"Philanthropy, Voluntarism and Grantmaking Foundations",Community Foundations,Independent ,"October, 1963",89.78,86.12,96,tel: (513) 241-2880,https://www.gcfdn.org/,200 West Fourth Street,Cincinnati,OH,45202
34-1292848,Greater Cleveland Food Bank Inc,K31,"Food, Agriculture and Nutrition","Food Banks, Food Pantries",Independent ,"January, 1980",91.8,89.12,96,tel: (216) 738-2265,http://www.clevelandfoodbank.org,15500 South Waterloo Road,Cleveland,OH,44110
31-1209423,Habitat For Humanity International Inc,L20,"Housing, Shelter","Housing Development, Construction, Management",Subordinate ,"January, 1987",90.24,91.67,89,tel: (216) 429-1299,http://www.gchfh.org/,2110 West 110th Street,Cleveland,OH,44102
42-0540765,Greater Des Moines Botanical Garden,C11,"Environmental Quality, Protection and Beautification",Single Organization Support,Independent ,"May, 1970",88.34,87.72,89,tel: (515) 323-6290,http://www.dmbotanicalgarden.com/,909 Robert D. Ray Drive,Des Moines,IA,50309
42-1275330,Habitat For Humanity International Inc,L20,"Housing, Shelter","Housing Development, Construction, Management",Subordinate ,"September, 1986",91.51,95.2,89,tel: (515) 471-8686,http://www.gdmhabitat.org/,2200 East Euclid,Des Moines,IA,50303
39-1742974,Habitat For Humanity International Inc,L20,"Housing, Shelter","Housing Development, Construction, Management",Subordinate ,"January, 1987",99.32,99.05,100,tel: (920) 954-8702,http://www.foxcitieshabitat.org/,921 Midway Road,Menasha,WI,54952
81-0384820,Greater Gallatin United Way Inc,T70,"Philanthropy, Voluntarism and Grantmaking Foundations",Fund Raising Organizations That Cross Categories,Independent ,"October, 1979",94.91,94.03,96,tel: (406) 587-2194,http://www.greatergallatinunitedway.org/,945 Technology Blvd. Suite 101F,Bozeman,MT,59718
23-7111486,Greater Hartford Arts Council Incorporated,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"June, 1971",78.1,69.03,100,tel: (860) 525-8629,http://www.letsgoarts.org,100 Pearl Street,Hartford,CT,6123
56-0934855,Greater Hickory Cooperative Christian Ministry,E60,Health - General and Rehabilitative,Health Support Services,Independent ,"July, 2003",93.31,93.65,93,tel: (828) 327-0979,http://www.ccmhickory.com/,"31 First Avenue, SE.",Hickory,NC,28602
